"TEAM","RECORD","PF","PA","OVER","OFF","PASS","PBLK","RECV","RUN","RBLK","DEF","RDEF","TACK","PRSH","COV"
"Ohio State","11-2",512,201,92.4,81.4,74.5,69.1,64.1,76,89.8,94.4,93.1,92.3,92.7,92.7
"Oklahoma","11-2",571,375,92.1,93.9,94.3,86.9,89.3,77.7,82.8,91.9,70.7,74,64,74
"Oklahoma State","10-3",502,345,91.6,89.4,91.7,85.6,76.8,74.9,88,91.2,67.6,82,74,82
"Old Dominion","10-3",456,354,85.3,78,79.2,74.8,74.9,74.8,86.6,86.6,71.6,74.3,67.6,74.3
"Oregon","4-8",425,497,80.9,82.3,73.8,71.9,74.9,76,82.1,83.4,55.9,63.7,55.9,63.7
"Oregon State","4-8",314,366,74.7,66.6,53.3,73,52.4,74,78.3,79.8,54.2,66.4,54.2,66.4
"Penn State","11-3",526,356,87.6,81.6,77.6,70.3,75,75,83.8,81.4,75.9,75.9,73.6,75.9
"Pittsburgh","8-5",532,458,84,81,76.9,87.4,73.2,71.1,84.7,80.8,63.1,78.1,73.7,78.1
"Purdue","3-9",295,459,67.3,63.4,53,58.7,60.6,72.2,72.3,80.5,59.2,68.5,61.8,68.5
"Rice","3-9",303,448,67.9,64.9,60.4,82.7,67,68.2,68.5,64.7,52.6,67.3,67,67.3
"Rutgers","2-10",188,450,65.2,60.3,48.5,60.4,54.1,66.2,69.7,62.7,54.5,62.7,61.8,62.7
"San Diego State","11-3",493,283,92,89.6,66.2,84.4,75.2,88.2,89.1,90.7,63.1,72.3,89.2,72.3
"San Jose State","4-8",293,416,78,78.4,66.7,73.4,65.7,73.4,81.4,77.6,59.4,67.1,79.5,67.1
"SMU","5-7",332,435,76.1,69.7,55.5,70.1,63.6,73,77.5,77.5,64.2,67.6,73,67.6
"South Alabama","6-7",330,351,77.5,70.6,72.9,65,65,65,83.7,80.4,60.4,66.6,72.9,66.6
"South Carolina","6-7",270,344,79.9,73,64.2,70.3,63.9,78.5,82,89.1,64.6,81.5,79.9,81.5
"Southern Miss","7-6",427,384,82,77.7,75.3,68.1,72.8,74.5,81.5,81.9,65.7,74.5,72.8,74.5
"Stanford","10-3",342,265,90.5,82.9,69.1,71.1,74,87.5,86.7,83.7,69.8,75.4,88.4,75.4
"Syracuse","4-8",308,463,66.8,64.5,66.5,69.5,57.8,65.7,74.2,59.9,55.8,59.9,64.4,59.9
"TCU","6-7",403,364,81,70.8,61.2,59.5,62,82,89.5,69.2,69.8,69.2,83.8,69.2
"Temple","10-4",453,258,89.4,78.2,69.9,79.3,77.3,69.1,91.2,89.9,82.6,76.1,88.4,76.1
"Tennessee","9-4",473,375,81.4,75,68.9,69.7,62.7,83.8,81.3,76.7,71,71,76.8,71
"Texas","5-7",383,378,84,74.3,66.1,66.6,67.1,73.8,89.6,74.8,66.7,79.9,86.5,79.9
"Texas A&M","8-5",453,319,82,69.9,63.6,66.5,64.1,74.1,88.6,86.7,64.3,79.2,84.9,79.2
"Texas State","2-10",223,493,65.2,60.2,58.1,58.1,51.5,63.5,71.5,52.7,52.7,68.4,68.4,68.4
"Texas Tech","5-7",524,522,82,85,86.2,84.2,70.8,75.2,70.2,73.1,57.2,73.7,79.2,73.7
"Toledo","9-4",494,334,92,90.2,86.9,86.7,79.5,84.7,89.9,92.8,74.5,89.8,90.2,89.8
"Troy","10-3",438,287,83,70.8,74.2,91.3,62.8,68.4,90.9,66.8,78.8,85.9,85.9,85.9
"Tulane","4-8",289,332,76.4,70.2,44.8,71.5,62.4,76.5,80.1,81.8,71,73.2,73.2,73.2
"Tulsa","10-3",552,388,83.3,77.9,69.6,88.7,69.1,72.8,81.3,79.9,68.1,82.1,82.1,82.1
"UCF","6-7",374,320,79.1,60.4,45.1,85.4,57.8,63.7,92,91.6,62.9,93.1,93.1,93.1
"UCLA","4-8",299,330,82.3,68.6,67.1,73.3,64.9,67,90.9,90.9,72.2,90.3,90.3,90.3
"UNLV","4-8",379,441,74.6,73.1,54.6,74.1,63.3,72.5,70.5,71.1,57.2,70.8,70.8,70.8
"USC","10-3",447,315,90.8,82.2,82.4,79.8,73.3,71.8,89.6,90.6,57.1,90.2,90.2,90.2
"USF","11-2",569,411,83.6,81,76.3,85,65.4,78.3,82,82,65.3,73.9,73.9,73.9
"Utah","9-4",388,311,85.8,74.3,72.5,77.3,63.4,73.2,83.5,83.5,46.8,74.6,74.6,74.6
"Utah State","3-9",287,352,67.5,65.2,62.3,71.3,57,64,68,69.8,53.5,60.3,60.3,60.3
"UTEP","4-8",316,419,76.8,74.3,71.7,80.5,66.4,73.4,73.4,82.6,54.4,72.1,72.1,72.1
"UTSA","6-7",379,363,80.5,70.9,63.2,67.7,66.3,69.7,84.2,84.2,62.9,71.9,71.9,71.9
"Vanderbilt","6-7",299,312,77.4,72,61.1,67.4,62.5,75.5,80,84.3,61,76.1,76.1,76.1
"Virginia","2-10",270,405,73,70.4,62.4,82.8,59.6,76.9,79.4,79.4,63.8,70.5,70.5,70.5
"Virginia Tech","10-4",490,319,90.3,80.2,74.2,88.2,66.5,72.5,91,85.8,72.9,72.9,72.9,72.9
"Wake Forest","7-6",265,288,77.5,65.7,58.4,83.4,60.1,67.7,87.1,87.8,53.6,72.1,72.1,72.1
"Washington","12-2",585,248,94.4,91.2,78.4,88.5,72,84.1,93.9,95.3,70.3,92.5,92.5,92.5
"Washington State","8-5",496,343,83,81,83.4,98.7,67.3,77.5,77.5,76.1,61.6,70.3,70.3,70.3
"West Virginia","10-3",405,312,84.5,75.8,63.5,83.8,72.8,71.6,92.5,88,53.6,75.3,75.3,75.3
"Western Kentucky","11-3",637,344,93.1,92.6,89.5,89.5,85.1,86.7,90.3,89.9,64.7,88.9,88.9,88.9
"Western Michigan","13-1",582,277,91.8,92.1,84.9,83.5,72.5,88.3,88.3,81.9,66.2,74.5,74.5,74.5
"Wisconsin","11-3",397,218,91.4,85.3,77.2,79.8,67.7,87.1,90.7,83.9,63.5,74.5,74.5,74.5
"Wyoming","8-6",503,477,79,82.9,74.6,81.2,66.9,75.3,75.3,66.8,57.4,68.5,68.5,68.5
